time,depth,latitude,longitude,so,day,distance_km
2024-02-02,1.541375,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,1.541375,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,1.541375,36.75,2.8333435,36.613922,2024-02-02,20.194040166169533
2024-02-02,1.541375,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,1.541375,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,1.541375,36.75,3.0833435,36.61815,2024-02-02,2.079801567910821
2024-02-02,1.541375,36.75,3.1666718,36.642178,2024-02-02,9.50394748445699
2024-02-02,1.541375,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,1.541375,36.833336,2.8333435,36.576607,2024-02-02,22.20863381656194
2024-02-02,1.541375,36.833336,2.9166718,36.583103,2024-02-02,15.772124592603511
2024-02-02,1.541375,36.833336,3.0,36.588295,2024-02-02,10.696398658202174
2024-02-02,1.541375,36.833336,3.0833435,36.586517,2024-02-02,9.496747682395155
2024-02-02,1.541375,36.833336,3.1666718,36.609535,2024-02-02,13.270048906298761
2024-02-02,1.541375,36.833336,3.25,36.622875,2024-02-02,19.290330362086166
2024-02-02,1.541375,36.91667,2.8333435,36.598618,2024-02-02,27.393082527538727
2024-02-02,1.541375,36.91667,2.9166718,36.627197,2024-02-02,22.49852861582144
2024-02-02,1.541375,36.91667,3.0,36.676704,2024-02-02,19.286865452625985
2024-02-02,1.541375,36.91667,3.0833435,36.697598,2024-02-02,18.648990373299995
2024-02-02,1.541375,36.91667,3.1666718,36.710884,2024-02-02,20.82299777897512
2024-02-02,1.541375,36.91667,3.25,36.723133,2024-02-02,25.08797191414032
2024-02-02,2.645669,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,2.645669,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,2.645669,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,2.645669,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,2.645669,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,2.645669,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,2.645669,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,2.645669,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,2.645669,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,2.645669,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,2.645669,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,2.645669,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,2.645669,36.75,2.8333435,36.61433,2024-02-02,20.194040166169533
2024-02-02,2.645669,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,2.645669,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,2.645669,36.75,3.0833435,36.619633,2024-02-02,2.079801567910821
2024-02-02,2.645669,36.75,3.1666718,36.64321,2024-02-02,9.50394748445699
2024-02-02,2.645669,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,2.645669,36.833336,2.8333435,36.577698,2024-02-02,22.20863381656194
2024-02-02,2.645669,36.833336,2.9166718,36.583897,2024-02-02,15.772124592603511
2024-02-02,2.645669,36.833336,3.0,36.5904,2024-02-02,10.696398658202174
2024-02-02,2.645669,36.833336,3.0833435,36.588272,2024-02-02,9.496747682395155
2024-02-02,2.645669,36.833336,3.1666718,36.611675,2024-02-02,13.270048906298761
2024-02-02,2.645669,36.833336,3.25,36.624252,2024-02-02,19.290330362086166
2024-02-02,2.645669,36.91667,2.8333435,36.59876,2024-02-02,27.393082527538727
2024-02-02,2.645669,36.91667,2.9166718,36.62761,2024-02-02,22.49852861582144
2024-02-02,2.645669,36.91667,3.0,36.678703,2024-02-02,19.286865452625985
2024-02-02,2.645669,36.91667,3.0833435,36.699276,2024-02-02,18.648990373299995
2024-02-02,2.645669,36.91667,3.1666718,36.711876,2024-02-02,20.82299777897512
2024-02-02,2.645669,36.91667,3.25,36.7241,2024-02-02,25.08797191414032
2024-02-02,3.819495,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,3.819495,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,3.819495,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,3.819495,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,3.819495,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,3.819495,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,3.819495,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,3.819495,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,3.819495,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,3.819495,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,3.819495,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,3.819495,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,3.819495,36.75,2.8333435,36.614895,2024-02-02,20.194040166169533
2024-02-02,3.819495,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,3.819495,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,3.819495,36.75,3.0833435,36.62102,2024-02-02,2.079801567910821
2024-02-02,3.819495,36.75,3.1666718,36.644257,2024-02-02,9.50394748445699
2024-02-02,3.819495,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,3.819495,36.833336,2.8333435,36.57872,2024-02-02,22.20863381656194
2024-02-02,3.819495,36.833336,2.9166718,36.58459,2024-02-02,15.772124592603511
2024-02-02,3.819495,36.833336,3.0,36.592094,2024-02-02,10.696398658202174
2024-02-02,3.819495,36.833336,3.0833435,36.58998,2024-02-02,9.496747682395155
2024-02-02,3.819495,36.833336,3.1666718,36.613895,2024-02-02,13.270048906298761
2024-02-02,3.819495,36.833336,3.25,36.625572,2024-02-02,19.290330362086166
2024-02-02,3.819495,36.91667,2.8333435,36.599014,2024-02-02,27.393082527538727
2024-02-02,3.819495,36.91667,2.9166718,36.62819,2024-02-02,22.49852861582144
2024-02-02,3.819495,36.91667,3.0,36.681274,2024-02-02,19.286865452625985
2024-02-02,3.819495,36.91667,3.0833435,36.701267,2024-02-02,18.648990373299995
2024-02-02,3.819495,36.91667,3.1666718,36.71299,2024-02-02,20.82299777897512
2024-02-02,3.819495,36.91667,3.25,36.725315,2024-02-02,25.08797191414032
2024-02-03,0.494025,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,0.494025,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,0.494025,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,0.494025,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,0.494025,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,0.494025,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,0.494025,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,0.494025,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,0.494025,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,0.494025,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,0.494025,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,0.494025,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,0.494025,36.75,2.8333435,36.597107,2024-02-03,20.194040166169533
2024-02-03,0.494025,36.75,2.9166718,,2024-02-03,12.76987826840439
2024-02-03,0.494025,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,0.494025,36.75,3.0833435,36.59872,2024-02-03,2.079801567910821
2024-02-03,0.494025,36.75,3.1666718,36.618027,2024-02-03,9.50394748445699
2024-02-03,0.494025,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,0.494025,36.833336,2.8333435,36.57188,2024-02-03,22.20863381656194
2024-02-03,0.494025,36.833336,2.9166718,36.57744,2024-02-03,15.772124592603511
2024-02-03,0.494025,36.833336,3.0,36.58241,2024-02-03,10.696398658202174
2024-02-03,0.494025,36.833336,3.0833435,36.580902,2024-02-03,9.496747682395155
2024-02-03,0.494025,36.833336,3.1666718,36.59027,2024-02-03,13.270048906298761
2024-02-03,0.494025,36.833336,3.25,36.60147,2024-02-03,19.290330362086166
2024-02-03,0.494025,36.91667,2.8333435,36.610863,2024-02-03,27.393082527538727
2024-02-03,0.494025,36.91667,2.9166718,36.640076,2024-02-03,22.49852861582144
2024-02-03,0.494025,36.91667,3.0,36.65834,2024-02-03,19.286865452625985
2024-02-03,0.494025,36.91667,3.0833435,36.684074,2024-02-03,18.648990373299995
2024-02-03,0.494025,36.91667,3.1666718,36.7025,2024-02-03,20.82299777897512
2024-02-03,0.494025,36.91667,3.25,36.705517,2024-02-03,25.08797191414032
2024-02-03,1.541375,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,1.541375,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,1.541375,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,1.541375,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,1.541375,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,1.541375,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,1.541375,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,1.541375,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,1.541375,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,1.541375,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,1.541375,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,1.541375,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,1.541375,36.75,2.8333435,36.597374,2024-02-03,20.194040166169533
2024-02-03,1.541375,36.75,2.9166718,,2024-02-03,12.76987826840439
2024-02-03,1.541375,36.75,3.0,,2024-02-03,5.345713953294998
