time,depth,latitude,longitude,ph,dissic,day,distance_km
2024-02-02,3.8194947,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,3.8194947,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,3.8194947,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,3.8194947,37.0,2.5,8.109977,2.2151957,2024-02-02,57.043668759204486
2024-02-02,3.8194947,37.0,2.75,8.11016,2.2160509,2024-02-02,39.154960218269906
2024-02-02,3.8194947,37.0,3.0,8.108897,2.2164936,2024-02-02,28.306273869736685
2024-02-02,3.8194947,37.0,3.25,8.107388,2.2188306,2024-02-02,32.53286358811945
2024-02-02,3.8194947,37.0,3.5,8.107198,2.2202015,2024-02-02,48.00558097221438
2024-02-02,3.8194947,37.0,3.75,8.107467,2.2209787,2024-02-02,67.3771665595173
2024-02-02,3.8194947,37.25,2.5,8.10775,2.214423,2024-02-02,74.59321055978846
2024-02-02,3.8194947,37.25,2.75,8.104111,2.2144244,2024-02-02,62.03979573410962
2024-02-02,3.8194947,37.25,3.0,8.100006,2.2121687,2024-02-02,55.85227782011057
2024-02-02,3.8194947,37.25,3.25,8.098033,2.2120216,2024-02-02,58.10140704804029
2024-02-02,3.8194947,37.25,3.5,8.1003,2.2123373,2024-02-02,67.95457758570011
2024-02-02,3.8194947,37.25,3.75,8.104554,2.2114244,2024-02-02,82.73827358954384
2024-02-03,0.49402538,36.25,2.5,,,2024-02-03,74.81033821417587
2024-02-03,0.49402538,36.25,2.75,,,2024-02-03,62.11983730345671
2024-02-03,0.49402538,36.25,3.0,,,2024-02-03,55.85557448584465
2024-02-03,0.49402538,36.25,3.25,,,2024-02-03,58.13350219663351
2024-02-03,0.49402538,36.25,3.5,,,2024-02-03,68.10175849678386
2024-02-03,0.49402538,36.25,3.75,,,2024-02-03,83.035373349154
2024-02-03,0.49402538,36.5,2.5,,,2024-02-03,57.18584711457668
2024-02-03,0.49402538,36.5,2.75,,,2024-02-03,39.218630748632165
2024-02-03,0.49402538,36.5,3.0,,,2024-02-03,28.309899066231292
2024-02-03,0.49402538,36.5,3.25,,,2024-02-03,32.56184297337359
2024-02-03,0.49402538,36.5,3.5,,,2024-02-03,48.109971773295804
2024-02-03,0.49402538,36.5,3.75,,,2024-02-03,67.55982081549554
2024-02-03,0.49402538,36.75,2.5,8.112827,2.2110498,2024-02-03,49.893335851721524
2024-02-03,0.49402538,36.75,2.75,,,2024-02-03,27.619548433415456
2024-02-03,0.49402538,36.75,3.0,,,2024-02-03,5.345713953294998
2024-02-03,0.49402538,36.75,3.25,,,2024-02-03,16.92811061876691
2024-02-03,0.49402538,36.75,3.5,,,2024-02-03,39.201925363355656
2024-02-03,0.49402538,36.75,3.75,,,2024-02-03,61.475673310100895
2024-02-03,0.49402538,37.0,2.5,8.110515,2.215907,2024-02-03,57.043668759204486
2024-02-03,0.49402538,37.0,2.75,8.11089,2.2161422,2024-02-03,39.154960218269906
2024-02-03,0.49402538,37.0,3.0,8.109703,2.2174969,2024-02-03,28.306273869736685
2024-02-03,0.49402538,37.0,3.25,8.1081085,2.2189894,2024-02-03,32.53286358811945
2024-02-03,0.49402538,37.0,3.5,8.107768,2.219189,2024-02-03,48.00558097221438
2024-02-03,0.49402538,37.0,3.75,8.107785,2.2199202,2024-02-03,67.3771665595173
2024-02-03,0.49402538,37.25,2.5,8.10747,2.2144802,2024-02-03,74.59321055978846
2024-02-03,0.49402538,37.25,2.75,8.1042,2.2136755,2024-02-03,62.03979573410962
2024-02-03,0.49402538,37.25,3.0,8.1004925,2.2125452,2024-02-03,55.85227782011057
2024-02-03,0.49402538,37.25,3.25,8.097814,2.2128792,2024-02-03,58.10140704804029
2024-02-03,0.49402538,37.25,3.5,8.099171,2.2133348,2024-02-03,67.95457758570011
2024-02-03,0.49402538,37.25,3.75,8.104745,2.2122273,2024-02-03,82.73827358954384
2024-02-03,1.5413754,36.25,2.5,,,2024-02-03,74.81033821417587
2024-02-03,1.5413754,36.25,2.75,,,2024-02-03,62.11983730345671
2024-02-03,1.5413754,36.25,3.0,,,2024-02-03,55.85557448584465
2024-02-03,1.5413754,36.25,3.25,,,2024-02-03,58.13350219663351
2024-02-03,1.5413754,36.25,3.5,,,2024-02-03,68.10175849678386
2024-02-03,1.5413754,36.25,3.75,,,2024-02-03,83.035373349154
2024-02-03,1.5413754,36.5,2.5,,,2024-02-03,57.18584711457668
2024-02-03,1.5413754,36.5,2.75,,,2024-02-03,39.218630748632165
2024-02-03,1.5413754,36.5,3.0,,,2024-02-03,28.309899066231292
2024-02-03,1.5413754,36.5,3.25,,,2024-02-03,32.56184297337359
2024-02-03,1.5413754,36.5,3.5,,,2024-02-03,48.109971773295804
2024-02-03,1.5413754,36.5,3.75,,,2024-02-03,67.55982081549554
2024-02-03,1.5413754,36.75,2.5,8.112831,2.2110498,2024-02-03,49.893335851721524
2024-02-03,1.5413754,36.75,2.75,,,2024-02-03,27.619548433415456
2024-02-03,1.5413754,36.75,3.0,,,2024-02-03,5.345713953294998
2024-02-03,1.5413754,36.75,3.25,,,2024-02-03,16.92811061876691
2024-02-03,1.5413754,36.75,3.5,,,2024-02-03,39.201925363355656
2024-02-03,1.5413754,36.75,3.75,,,2024-02-03,61.475673310100895
2024-02-03,1.5413754,37.0,2.5,8.110564,2.2158923,2024-02-03,57.043668759204486
2024-02-03,1.5413754,37.0,2.75,8.110913,2.216129,2024-02-03,39.154960218269906
2024-02-03,1.5413754,37.0,3.0,8.109741,2.2174861,2024-02-03,28.306273869736685
2024-02-03,1.5413754,37.0,3.25,8.10817,2.2189274,2024-02-03,32.53286358811945
2024-02-03,1.5413754,37.0,3.5,8.107806,2.2190917,2024-02-03,48.00558097221438
