time,latitude,longitude,zos,day,distance_km
2024-02-05,36.833336,3.1666718,-0.35119647,2024-02-05,13.270048906298761
2024-02-05,36.833336,3.25,-0.35136575,2024-02-05,19.290330362086166
2024-02-05,36.91667,2.8333435,-0.3483443,2024-02-05,27.393082527538727
2024-02-05,36.91667,2.9166718,-0.3471333,2024-02-05,22.49852861582144
2024-02-05,36.91667,3.0,-0.3453523,2024-02-05,19.286865452625985
2024-02-05,36.91667,3.0833435,-0.3428324,2024-02-05,18.648990373299995
2024-02-05,36.91667,3.1666718,-0.3409319,2024-02-05,20.82299777897512
2024-02-05,36.91667,3.25,-0.34005353,2024-02-05,25.08797191414032
2024-02-06,36.583336,2.8333435,,2024-02-06,27.42486183499686
2024-02-06,36.583336,2.9166718,,2024-02-06,22.513610945271516
2024-02-06,36.583336,3.0,,2024-02-06,19.289317853545782
2024-02-06,36.583336,3.0833435,,2024-02-06,18.648702135525184
2024-02-06,36.583336,3.1666718,,2024-02-06,20.831708919035847
2024-02-06,36.583336,3.25,,2024-02-06,25.112182506309033
2024-02-06,36.66667,2.8333435,,2024-02-06,22.228234819302035
2024-02-06,36.66667,2.9166718,,2024-02-06,15.782881420103022
2024-02-06,36.66667,3.0,,2024-02-06,10.698609465725811
2024-02-06,36.66667,3.0833435,,2024-02-06,9.496464669132697
2024-02-06,36.66667,3.1666718,,2024-02-06,13.276882967911245
2024-02-06,36.66667,3.25,,2024-02-06,19.306074472517334
2024-02-06,36.75,2.8333435,-0.31684887,2024-02-06,20.194040166169533
2024-02-06,36.75,2.9166718,,2024-02-06,12.76987826840439
2024-02-06,36.75,3.0,,2024-02-06,5.345713953294998
2024-02-06,36.75,3.0833435,-0.32062057,2024-02-06,2.079801567910821
2024-02-06,36.75,3.1666718,-0.3201521,2024-02-06,9.50394748445699
2024-02-06,36.75,3.25,,2024-02-06,16.92811061876691
2024-02-06,36.833336,2.8333435,-0.32408193,2024-02-06,22.20863381656194
2024-02-06,36.833336,2.9166718,-0.32296643,2024-02-06,15.772124592603511
2024-02-06,36.833336,3.0,-0.32375288,2024-02-06,10.696398658202174
2024-02-06,36.833336,3.0833435,-0.32503194,2024-02-06,9.496747682395155
2024-02-06,36.833336,3.1666718,-0.3255588,2024-02-06,13.270048906298761
2024-02-06,36.833336,3.25,-0.32625696,2024-02-06,19.290330362086166
2024-02-06,36.91667,2.8333435,-0.32890856,2024-02-06,27.393082527538727
2024-02-06,36.91667,2.9166718,-0.32622382,2024-02-06,22.49852861582144
2024-02-06,36.91667,3.0,-0.3241887,2024-02-06,19.286865452625985
2024-02-06,36.91667,3.0833435,-0.32254937,2024-02-06,18.648990373299995
2024-02-06,36.91667,3.1666718,-0.32128075,2024-02-06,20.82299777897512
2024-02-06,36.91667,3.25,-0.32135516,2024-02-06,25.08797191414032
2024-02-07,36.583336,2.8333435,,2024-02-07,27.42486183499686
2024-02-07,36.583336,2.9166718,,2024-02-07,22.513610945271516
2024-02-07,36.583336,3.0,,2024-02-07,19.289317853545782
2024-02-07,36.583336,3.0833435,,2024-02-07,18.648702135525184
2024-02-07,36.583336,3.1666718,,2024-02-07,20.831708919035847
2024-02-07,36.583336,3.25,,2024-02-07,25.112182506309033
2024-02-07,36.66667,2.8333435,,2024-02-07,22.228234819302035
2024-02-07,36.66667,2.9166718,,2024-02-07,15.782881420103022
2024-02-07,36.66667,3.0,,2024-02-07,10.698609465725811
2024-02-07,36.66667,3.0833435,,2024-02-07,9.496464669132697
2024-02-07,36.66667,3.1666718,,2024-02-07,13.276882967911245
2024-02-07,36.66667,3.25,,2024-02-07,19.306074472517334
2024-02-07,36.75,2.8333435,-0.29361048,2024-02-07,20.194040166169533
2024-02-07,36.75,2.9166718,,2024-02-07,12.76987826840439
2024-02-07,36.75,3.0,,2024-02-07,5.345713953294998
2024-02-07,36.75,3.0833435,-0.29619566,2024-02-07,2.079801567910821
2024-02-07,36.75,3.1666718,-0.29433647,2024-02-07,9.50394748445699
2024-02-07,36.75,3.25,,2024-02-07,16.92811061876691
2024-02-07,36.833336,2.8333435,-0.30468357,2024-02-07,22.20863381656194
2024-02-07,36.833336,2.9166718,-0.30159202,2024-02-07,15.772124592603511
2024-02-07,36.833336,3.0,-0.30240932,2024-02-07,10.696398658202174
2024-02-07,36.833336,3.0833435,-0.3043878,2024-02-07,9.496747682395155
2024-02-07,36.833336,3.1666718,-0.30491304,2024-02-07,13.270048906298761
2024-02-07,36.833336,3.25,-0.30543733,2024-02-07,19.290330362086166
2024-02-07,36.91667,2.8333435,-0.31457084,2024-02-07,27.393082527538727
2024-02-07,36.91667,2.9166718,-0.31184116,2024-02-07,22.49852861582144
2024-02-07,36.91667,3.0,-0.31070796,2024-02-07,19.286865452625985
2024-02-07,36.91667,3.0833435,-0.30930594,2024-02-07,18.648990373299995
2024-02-07,36.91667,3.1666718,-0.3081077,2024-02-07,20.82299777897512
2024-02-07,36.91667,3.25,-0.30870622,2024-02-07,25.08797191414032
2024-02-08,36.583336,2.8333435,,2024-02-08,27.42486183499686
2024-02-08,36.583336,2.9166718,,2024-02-08,22.513610945271516
2024-02-08,36.583336,3.0,,2024-02-08,19.289317853545782
2024-02-08,36.583336,3.0833435,,2024-02-08,18.648702135525184
2024-02-08,36.583336,3.1666718,,2024-02-08,20.831708919035847
2024-02-08,36.583336,3.25,,2024-02-08,25.112182506309033
2024-02-08,36.66667,2.8333435,,2024-02-08,22.228234819302035
