time,depth,latitude,longitude,chl,phyc,day,distance_km
2024-02-02,3.8194947,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,3.8194947,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,3.8194947,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,3.8194947,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,3.8194947,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,3.8194947,37.0,2.5,0.32232246,1.7539471,2024-02-02,57.043668759204486
2024-02-02,3.8194947,37.0,2.75,0.31309584,1.7620304,2024-02-02,39.154960218269906
2024-02-02,3.8194947,37.0,3.0,0.34817615,1.905934,2024-02-02,28.306273869736685
2024-02-02,3.8194947,37.0,3.25,0.3520342,1.9025351,2024-02-02,32.53286358811945
2024-02-02,3.8194947,37.0,3.5,0.3353177,1.8375589,2024-02-02,48.00558097221438
2024-02-02,3.8194947,37.0,3.75,0.29960415,1.7333413,2024-02-02,67.3771665595173
2024-02-02,3.8194947,37.25,2.5,0.3399611,1.774987,2024-02-02,74.59321055978846
2024-02-02,3.8194947,37.25,2.75,0.32734004,1.7348359,2024-02-02,62.03979573410962
2024-02-02,3.8194947,37.25,3.0,0.37005493,1.8238193,2024-02-02,55.85227782011057
2024-02-02,3.8194947,37.25,3.25,0.39008406,1.7789966,2024-02-02,58.10140704804029
2024-02-02,3.8194947,37.25,3.5,0.36725968,1.6685517,2024-02-02,67.95457758570011
2024-02-02,3.8194947,37.25,3.75,0.30459267,1.6056675,2024-02-02,82.73827358954384
2024-02-03,0.49402538,36.25,2.5,,,2024-02-03,74.81033821417587
2024-02-03,0.49402538,36.25,2.75,,,2024-02-03,62.11983730345671
2024-02-03,0.49402538,36.25,3.0,,,2024-02-03,55.85557448584465
2024-02-03,0.49402538,36.25,3.25,,,2024-02-03,58.13350219663351
2024-02-03,0.49402538,36.25,3.5,,,2024-02-03,68.10175849678386
2024-02-03,0.49402538,36.25,3.75,,,2024-02-03,83.035373349154
2024-02-03,0.49402538,36.5,2.5,,,2024-02-03,57.18584711457668
2024-02-03,0.49402538,36.5,2.75,,,2024-02-03,39.218630748632165
2024-02-03,0.49402538,36.5,3.0,,,2024-02-03,28.309899066231292
2024-02-03,0.49402538,36.5,3.25,,,2024-02-03,32.56184297337359
2024-02-03,0.49402538,36.5,3.5,,,2024-02-03,48.109971773295804
2024-02-03,0.49402538,36.5,3.75,,,2024-02-03,67.55982081549554
2024-02-03,0.49402538,36.75,2.5,0.3123782,1.7264832,2024-02-03,49.893335851721524
2024-02-03,0.49402538,36.75,2.75,,,2024-02-03,27.619548433415456
2024-02-03,0.49402538,36.75,3.0,,,2024-02-03,5.345713953294998
2024-02-03,0.49402538,36.75,3.25,,,2024-02-03,16.92811061876691
2024-02-03,0.49402538,36.75,3.5,,,2024-02-03,39.201925363355656
2024-02-03,0.49402538,36.75,3.75,,,2024-02-03,61.475673310100895
2024-02-03,0.49402538,37.0,2.5,0.31444663,1.7161968,2024-02-03,57.043668759204486
2024-02-03,0.49402538,37.0,2.75,0.32709843,1.8016732,2024-02-03,39.154960218269906
2024-02-03,0.49402538,37.0,3.0,0.3669364,1.947386,2024-02-03,28.306273869736685
2024-02-03,0.49402538,37.0,3.25,0.37539184,1.9466585,2024-02-03,32.53286358811945
2024-02-03,0.49402538,37.0,3.5,0.36382857,1.8858185,2024-02-03,48.00558097221438
2024-02-03,0.49402538,37.0,3.75,0.31099972,1.7511742,2024-02-03,67.3771665595173
2024-02-03,0.49402538,37.25,2.5,0.33544147,1.7662528,2024-02-03,74.59321055978846
2024-02-03,0.49402538,37.25,2.75,0.35041434,1.8104206,2024-02-03,62.03979573410962
2024-02-03,0.49402538,37.25,3.0,0.4027473,1.9201081,2024-02-03,55.85227782011057
2024-02-03,0.49402538,37.25,3.25,0.43001175,1.8751584,2024-02-03,58.10140704804029
2024-02-03,0.49402538,37.25,3.5,0.42371023,1.773754,2024-02-03,67.95457758570011
