time,depth,latitude,longitude,o2,day,distance_km
2024-02-02,0.49402538,36.75,3.5,,2024-02-02,39.201925363355656
2024-02-02,0.49402538,36.75,3.75,,2024-02-02,61.475673310100895
2024-02-02,0.49402538,37.0,2.5,247.71306,2024-02-02,57.043668759204486
2024-02-02,0.49402538,37.0,2.75,247.84697,2024-02-02,39.154960218269906
2024-02-02,0.49402538,37.0,3.0,247.95926,2024-02-02,28.306273869736685
2024-02-02,0.49402538,37.0,3.25,247.60405,2024-02-02,32.53286358811945
2024-02-02,0.49402538,37.0,3.5,247.34888,2024-02-02,48.00558097221438
2024-02-02,0.49402538,37.0,3.75,247.07047,2024-02-02,67.3771665595173
2024-02-02,0.49402538,37.25,2.5,247.0415,2024-02-02,74.59321055978846
2024-02-02,0.49402538,37.25,2.75,246.70314,2024-02-02,62.03979573410962
2024-02-02,0.49402538,37.25,3.0,246.24257,2024-02-02,55.85227782011057
2024-02-02,0.49402538,37.25,3.25,245.54959,2024-02-02,58.10140704804029
2024-02-02,0.49402538,37.25,3.5,245.46622,2024-02-02,67.95457758570011
2024-02-02,0.49402538,37.25,3.75,246.27519,2024-02-02,82.73827358954384
2024-02-02,1.5413754,36.25,2.5,,2024-02-02,74.81033821417587
2024-02-02,1.5413754,36.25,2.75,,2024-02-02,62.11983730345671
2024-02-02,1.5413754,36.25,3.0,,2024-02-02,55.85557448584465
2024-02-02,1.5413754,36.25,3.25,,2024-02-02,58.13350219663351
2024-02-02,1.5413754,36.25,3.5,,2024-02-02,68.10175849678386
2024-02-02,1.5413754,36.25,3.75,,2024-02-02,83.035373349154
2024-02-02,1.5413754,36.5,2.5,,2024-02-02,57.18584711457668
2024-02-02,1.5413754,36.5,2.75,,2024-02-02,39.218630748632165
2024-02-02,1.5413754,36.5,3.0,,2024-02-02,28.309899066231292
2024-02-02,1.5413754,36.5,3.25,,2024-02-02,32.56184297337359
2024-02-02,1.5413754,36.5,3.5,,2024-02-02,48.109971773295804
2024-02-02,1.5413754,36.5,3.75,,2024-02-02,67.55982081549554
2024-02-02,1.5413754,36.75,2.5,248.64157,2024-02-02,49.893335851721524
2024-02-02,1.5413754,36.75,2.75,,2024-02-02,27.619548433415456
2024-02-02,1.5413754,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,1.5413754,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,1.5413754,36.75,3.5,,2024-02-02,39.201925363355656
2024-02-02,1.5413754,36.75,3.75,,2024-02-02,61.475673310100895
2024-02-02,1.5413754,37.0,2.5,247.72021,2024-02-02,57.043668759204486
2024-02-02,1.5413754,37.0,2.75,247.85497,2024-02-02,39.154960218269906
2024-02-02,1.5413754,37.0,3.0,247.96925,2024-02-02,28.306273869736685
2024-02-02,1.5413754,37.0,3.25,247.61447,2024-02-02,32.53286358811945
2024-02-02,1.5413754,37.0,3.5,247.35854,2024-02-02,48.00558097221438
2024-02-02,1.5413754,37.0,3.75,247.07881,2024-02-02,67.3771665595173
2024-02-02,1.5413754,37.25,2.5,247.04855,2024-02-02,74.59321055978846
2024-02-02,1.5413754,37.25,2.75,246.71196,2024-02-02,62.03979573410962
2024-02-02,1.5413754,37.25,3.0,246.25285,2024-02-02,55.85227782011057
2024-02-02,1.5413754,37.25,3.25,245.5591,2024-02-02,58.10140704804029
2024-02-02,1.5413754,37.25,3.5,245.47346,2024-02-02,67.95457758570011
2024-02-02,1.5413754,37.25,3.75,246.28207,2024-02-02,82.73827358954384
2024-02-02,2.6456685,36.25,2.5,,2024-02-02,74.81033821417587
2024-02-02,2.6456685,36.25,2.75,,2024-02-02,62.11983730345671
2024-02-02,2.6456685,36.25,3.0,,2024-02-02,55.85557448584465
2024-02-02,2.6456685,36.25,3.25,,2024-02-02,58.13350219663351
2024-02-02,2.6456685,36.25,3.5,,2024-02-02,68.10175849678386
2024-02-02,2.6456685,36.25,3.75,,2024-02-02,83.035373349154
2024-02-02,2.6456685,36.5,2.5,,2024-02-02,57.18584711457668
2024-02-02,2.6456685,36.5,2.75,,2024-02-02,39.218630748632165
2024-02-02,2.6456685,36.5,3.0,,2024-02-02,28.309899066231292
2024-02-02,2.6456685,36.5,3.25,,2024-02-02,32.56184297337359
2024-02-02,2.6456685,36.5,3.5,,2024-02-02,48.109971773295804
2024-02-02,2.6456685,36.5,3.75,,2024-02-02,67.55982081549554
2024-02-02,2.6456685,36.75,2.5,248.64774,2024-02-02,49.893335851721524
2024-02-02,2.6456685,36.75,2.75,,2024-02-02,27.619548433415456
