time,depth,latitude,longitude,thetao,day,distance_km
2024-02-02,1.541375,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,1.541375,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,1.541375,36.75,2.8333435,16.38364,2024-02-02,20.194040166169533
2024-02-02,1.541375,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,1.541375,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,1.541375,36.75,3.0833435,16.246363,2024-02-02,2.079801567910821
2024-02-02,1.541375,36.75,3.1666718,16.154484,2024-02-02,9.50394748445699
2024-02-02,1.541375,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,1.541375,36.833336,2.8333435,16.464088,2024-02-02,22.20863381656194
2024-02-02,1.541375,36.833336,2.9166718,16.462572,2024-02-02,15.772124592603511
2024-02-02,1.541375,36.833336,3.0,16.430613,2024-02-02,10.696398658202174
2024-02-02,1.541375,36.833336,3.0833435,16.382051,2024-02-02,9.496747682395155
2024-02-02,1.541375,36.833336,3.1666718,16.31261,2024-02-02,13.270048906298761
2024-02-02,1.541375,36.833336,3.25,16.27284,2024-02-02,19.290330362086166
2024-02-02,1.541375,36.91667,2.8333435,16.435484,2024-02-02,27.393082527538727
2024-02-02,1.541375,36.91667,2.9166718,16.370785,2024-02-02,22.49852861582144
2024-02-02,1.541375,36.91667,3.0,16.321543,2024-02-02,19.286865452625985
2024-02-02,1.541375,36.91667,3.0833435,16.282595,2024-02-02,18.648990373299995
2024-02-02,1.541375,36.91667,3.1666718,16.239449,2024-02-02,20.82299777897512
2024-02-02,1.541375,36.91667,3.25,16.21006,2024-02-02,25.08797191414032
2024-02-02,2.645669,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,2.645669,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,2.645669,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,2.645669,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,2.645669,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,2.645669,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,2.645669,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,2.645669,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,2.645669,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,2.645669,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,2.645669,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,2.645669,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,2.645669,36.75,2.8333435,16.381353,2024-02-02,20.194040166169533
2024-02-02,2.645669,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,2.645669,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,2.645669,36.75,3.0833435,16.24039,2024-02-02,2.079801567910821
2024-02-02,2.645669,36.75,3.1666718,16.15112,2024-02-02,9.50394748445699
2024-02-02,2.645669,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,2.645669,36.833336,2.8333435,16.446606,2024-02-02,22.20863381656194
2024-02-02,2.645669,36.833336,2.9166718,16.447958,2024-02-02,15.772124592603511
2024-02-02,2.645669,36.833336,3.0,16.417336,2024-02-02,10.696398658202174
2024-02-02,2.645669,36.833336,3.0833435,16.370787,2024-02-02,9.496747682395155
2024-02-02,2.645669,36.833336,3.1666718,16.302963,2024-02-02,13.270048906298761
2024-02-02,2.645669,36.833336,3.25,16.267767,2024-02-02,19.290330362086166
2024-02-02,2.645669,36.91667,2.8333435,16.41833,2024-02-02,27.393082527538727
2024-02-02,2.645669,36.91667,2.9166718,16.356466,2024-02-02,22.49852861582144
2024-02-02,2.645669,36.91667,3.0,16.308943,2024-02-02,19.286865452625985
2024-02-02,2.645669,36.91667,3.0833435,16.270826,2024-02-02,18.648990373299995
2024-02-02,2.645669,36.91667,3.1666718,16.232368,2024-02-02,20.82299777897512
2024-02-02,2.645669,36.91667,3.25,16.207792,2024-02-02,25.08797191414032
2024-02-02,3.819495,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,3.819495,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,3.819495,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,3.819495,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,3.819495,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,3.819495,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,3.819495,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,3.819495,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,3.819495,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,3.819495,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,3.819495,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,3.819495,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,3.819495,36.75,2.8333435,16.37358,2024-02-02,20.194040166169533
2024-02-02,3.819495,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,3.819495,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,3.819495,36.75,3.0833435,16.232935,2024-02-02,2.079801567910821
2024-02-02,3.819495,36.75,3.1666718,16.144945,2024-02-02,9.50394748445699
2024-02-02,3.819495,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,3.819495,36.833336,2.8333435,16.433468,2024-02-02,22.20863381656194
2024-02-02,3.819495,36.833336,2.9166718,16.436714,2024-02-02,15.772124592603511
2024-02-02,3.819495,36.833336,3.0,16.407812,2024-02-02,10.696398658202174
2024-02-02,3.819495,36.833336,3.0833435,16.363365,2024-02-02,9.496747682395155
2024-02-02,3.819495,36.833336,3.1666718,16.296183,2024-02-02,13.270048906298761
2024-02-02,3.819495,36.833336,3.25,16.262676,2024-02-02,19.290330362086166
2024-02-02,3.819495,36.91667,2.8333435,16.407919,2024-02-02,27.393082527538727
2024-02-02,3.819495,36.91667,2.9166718,16.347921,2024-02-02,22.49852861582144
2024-02-02,3.819495,36.91667,3.0,16.30207,2024-02-02,19.286865452625985
2024-02-02,3.819495,36.91667,3.0833435,16.263046,2024-02-02,18.648990373299995
2024-02-02,3.819495,36.91667,3.1666718,16.225908,2024-02-02,20.82299777897512
2024-02-02,3.819495,36.91667,3.25,16.203825,2024-02-02,25.08797191414032
2024-02-03,0.494025,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,0.494025,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,0.494025,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,0.494025,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,0.494025,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,0.494025,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,0.494025,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,0.494025,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,0.494025,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,0.494025,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,0.494025,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,0.494025,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,0.494025,36.75,2.8333435,16.333616,2024-02-03,20.194040166169533
2024-02-03,0.494025,36.75,2.9166718,,2024-02-03,12.76987826840439
2024-02-03,0.494025,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,0.494025,36.75,3.0833435,16.18614,2024-02-03,2.079801567910821
2024-02-03,0.494025,36.75,3.1666718,16.129515,2024-02-03,9.50394748445699
2024-02-03,0.494025,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,0.494025,36.833336,2.8333435,16.376963,2024-02-03,22.20863381656194
2024-02-03,0.494025,36.833336,2.9166718,16.382006,2024-02-03,15.772124592603511
2024-02-03,0.494025,36.833336,3.0,16.354467,2024-02-03,10.696398658202174
2024-02-03,0.494025,36.833336,3.0833435,16.32434,2024-02-03,9.496747682395155
2024-02-03,0.494025,36.833336,3.1666718,16.288439,2024-02-03,13.270048906298761
2024-02-03,0.494025,36.833336,3.25,16.252686,2024-02-03,19.290330362086166
2024-02-03,0.494025,36.91667,2.8333435,16.351248,2024-02-03,27.393082527538727
2024-02-03,0.494025,36.91667,2.9166718,16.30342,2024-02-03,22.49852861582144
2024-02-03,0.494025,36.91667,3.0,16.255312,2024-02-03,19.286865452625985
2024-02-03,0.494025,36.91667,3.0833435,16.225927,2024-02-03,18.648990373299995
2024-02-03,0.494025,36.91667,3.1666718,16.213259,2024-02-03,20.82299777897512
2024-02-03,0.494025,36.91667,3.25,16.199081,2024-02-03,25.08797191414032
2024-02-03,1.541375,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,1.541375,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,1.541375,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,1.541375,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,1.541375,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,1.541375,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,1.541375,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,1.541375,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,1.541375,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,1.541375,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,1.541375,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,1.541375,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,1.541375,36.75,2.8333435,16.335688,2024-02-03,20.194040166169533
2024-02-03,1.541375,36.75,2.9166718,,2024-02-03,12.76987826840439
2024-02-03,1.541375,36.75,3.0,,2024-02-03,5.345713953294998
