date,o2_median,o2_n_points,o2_dist_min_km,o2_dist_median_km,o2_dist_max_km
2024-04-24,245.7439956665039,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-25,245.94344329833984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-26,245.79881286621094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-27,245.60906982421875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-28,245.35511779785156,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-29,244.88311004638672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-30,244.28953552246094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-01,243.8930892944336,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-02,243.5539779663086,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-03,243.5483169555664,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-04,243.49353790283203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-05,243.39588165283203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-06,243.08567810058594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-07,242.62020874023438,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-08,242.212158203125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-09,241.99542236328125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-10,241.5782699584961,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-11,240.8401107788086,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-12,240.1397933959961,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-13,239.65166473388672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-14,239.4173812866211,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-15,239.30843353271484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-16,238.80026245117188,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-17,238.4917755126953,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-18,238.14678192138672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-19,237.63336944580078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-20,236.73542022705078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-21,236.01949310302734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-22,235.825927734375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-23,235.45552825927734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-24,234.95293426513672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-25,234.63289642333984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-26,234.13673400878906,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-27,233.21282196044922,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-28,232.35189056396484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-29,231.87102508544922,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-30,231.46551513671875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-31,232.65125274658203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-01,233.17144012451172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-02,232.58236694335938,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-03,232.19995880126953,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-04,232.121826171875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-05,231.7797622680664,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-06,231.25692749023438,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-07,230.58343505859375,44,28.306411434744845,55.852195301984636,67.95450828154688
