date,requested_latitude,requested_longitude,era5_latitude,era5_longitude,t2m_mean_c,t2m_min_c,t2m_max_c,dewpoint_mean_c,precipitation_mm,wind_speed_mean_ms,wind_speed_max_ms,surface_pressure_mean_hpa,solar_radiation_mj_m2
2024-02-29,36.68110348873534,3.4773461625838635,36.75,3.5,13.2049055,10.981598,15.904694,9.007579,14.95266,6.3454037,8.453342,997.2461,13.61632
2024-03-01,36.68110348873534,3.4773461625838635,36.75,3.5,12.172618,8.026276,14.535309,6.802429,2.7246475,5.9921246,10.07783,998.28534,12.749696
2024-03-02,36.68110348873534,3.4773461625838635,36.75,3.5,12.511647,7.1593323,18.25064,6.679586,0.0,2.8087213,3.5723205,996.0599,18.866558
2024-03-03,36.68110348873534,3.4773461625838635,36.75,3.5,12.479665,10.415924,14.248444,5.7285056,7.5559616,6.3244004,8.051148,993.7586,11.950464
2024-03-04,36.68110348873534,3.4773461625838635,36.75,3.5,13.16093,10.596344,16.286285,7.865275,1.2636185,5.6466866,8.247451,1000.87823,14.103681
2024-03-05,36.68110348873534,3.4773461625838635,36.75,3.5,14.087789,9.4305725,17.450104,10.286336,0.44870377,3.3857718,6.017198,1005.11346,15.413185
2024-03-06,36.68110348873534,3.4773461625838635,36.75,3.5,12.612407,7.847809,17.978912,8.977142,0.0038146973,2.497358,4.3684497,1004.53467,18.673025
2024-03-07,36.68110348873534,3.4773461625838635,36.75,3.5,15.795064,9.69278,21.521637,9.860474,0.0,2.6387577,4.2543716,996.1097,17.177664
2024-03-08,36.68110348873534,3.4773461625838635,36.75,3.5,14.175751,10.010895,18.203522,9.625671,3.0970573,3.7860892,6.0031524,995.28656,8.85248
2024-03-09,36.68110348873534,3.4773461625838635,36.75,3.5,14.804016,8.703766,21.72525,8.421498,1.1587143,3.8531435,7.6002536,988.6692,19.177471
2024-03-10,36.68110348873534,3.4773461625838635,36.75,3.5,14.427531,11.492584,16.893951,8.176758,4.975319,6.209018,8.306394,989.73364,18.012735
2024-03-11,36.68110348873534,3.4773461625838635,36.75,3.5,14.480316,11.87027,16.644196,9.237091,3.0407906,5.9986596,7.4745646,999.50616,16.255232
2024-03-12,36.68110348873534,3.4773461625838635,36.75,3.5,13.759044,9.573883,17.898834,8.995809,0.005722046,2.3405368,3.0175025,1005.3343,19.601025
2024-03-13,36.68110348873534,3.4773461625838635,36.75,3.5,13.955852,8.736725,19.716705,9.794423,0.0,2.8580437,4.8861027,1000.74384,20.927807
2024-03-14,36.68110348873534,3.4773461625838635,36.75,3.5,14.023427,10.000397,18.134674,10.777832,0.00333786,1.8893343,3.5828242,1001.8215,19.552704
2024-03-15,36.68110348873534,3.4773461625838635,36.75,3.5,14.546641,9.222809,19.809723,11.13329,0.0052452087,2.1105301,2.9237401,1004.4119,20.599169
2024-03-16,36.68110348873534,3.4773461625838635,36.75,3.5,15.696055,11.61319,20.08902,12.052754,0.0,1.8697696,2.5767825,1008.0381,20.799616
2024-03-17,36.68110348873534,3.4773461625838635,36.75,3.5,16.85906,10.638824,23.1044,11.5051775,0.0,2.088909,3.5062296,1005.9799,21.27917
2024-03-18,36.68110348873534,3.4773461625838635,36.75,3.5,17.947104,13.580963,23.990387,10.783061,0.0,2.9023125,4.4317656,1000.69464,19.939327
2024-03-19,36.68110348873534,3.4773461625838635,36.75,3.5,16.632364,12.662018,20.417877,13.211141,0.0,1.4949409,2.93665,999.91144,16.227455
2024-03-20,36.68110348873534,3.4773461625838635,36.75,3.5,19.030172,12.426666,25.895905,12.971974,0.0,2.969467,4.32907,997.97284,21.10675
2024-03-21,36.68110348873534,3.4773461625838635,36.75,3.5,20.589111,16.19571,25.372711,12.289418,0.0,3.244687,4.26896,1001.5266,20.341185
2024-03-22,36.68110348873534,3.4773461625838635,36.75,3.5,18.225525,14.283112,23.847565,13.331014,0.00047683716,2.9054813,5.183238,1000.6434,21.025793
2024-03-23,36.68110348873534,3.4773461625838635,36.75,3.5,17.054382,11.913483,22.176422,12.169148,0.0,2.9831562,4.806476,999.5855,22.571074
2024-03-24,36.68110348873534,3.4773461625838635,36.75,3.5,19.099457,14.774078,23.79898,12.512604,0.3824234,3.1317728,4.4935403,994.9704,18.126272
2024-03-25,36.68110348873534,3.4773461625838635,36.75,3.5,19.117401,14.583405,24.879547,11.869415,0.121593475,3.8630593,6.5688753,984.91473,20.780354
2024-03-26,36.68110348873534,3.4773461625838635,36.75,3.5,15.186279,10.656403,20.510895,10.3689575,4.312992,5.37102,9.559902,981.83527,18.527935
2024-03-27,36.68110348873534,3.4773461625838635,36.75,3.5,14.97467,11.422028,18.430084,7.6590476,1.1854172,7.643145,11.42102,988.4687,19.314625
2024-03-28,36.68110348873534,3.4773461625838635,36.75,3.5,18.428995,14.584869,24.322418,7.8204246,0.0,3.8682292,5.1664,992.75757,23.394302
2024-03-29,36.68110348873534,3.4773461625838635,36.75,3.5,22.143179,16.08316,26.928375,0.6792908,0.0,6.097117,8.324959,986.791,24.057663
2024-03-30,36.68110348873534,3.4773461625838635,36.75,3.5,16.681253,14.344635,20.609772,8.600545,0.0,3.0952873,5.2928104,986.4084,17.304
2024-03-31,36.68110348873534,3.4773461625838635,36.75,3.5,20.25173,16.029938,28.019196,10.437602,0.0,3.5522082,5.357096,987.9119,21.64915
2024-04-01,36.68110348873534,3.4773461625838635,36.75,3.5,16.03591,12.108551,18.522125,9.752034,0.187397,4.5371327,6.917699,999.1362,18.683584
2024-04-02,36.68110348873534,3.4773461625838635,36.75,3.5,15.425984,10.090485,20.283112,9.464274,0.0,2.331715,4.815446,1003.46515,24.043839
2024-04-03,36.68110348873534,3.4773461625838635,36.75,3.5,16.465017,12.287994,20.89566,10.4033,0.0,2.13017,3.3605258,1003.26605,24.456638
2024-04-04,36.68110348873534,3.4773461625838635,36.75,3.5,16.408163,10.459137,22.007965,11.010671,0.0,2.0853868,3.7641568,1003.5185,24.972672
2024-04-05,36.68110348873534,3.4773461625838635,36.75,3.5,21.379354,13.615387,28.566315,9.834117,0.0,2.99164,4.1542697,1001.76434,25.178303
2024-04-06,36.68110348873534,3.4773461625838635,36.75,3.5,25.148071,20.10733,30.60904,6.9821877,0.0,4.2742987,5.975408,1000.8449,25.315071
2024-04-07,36.68110348873534,3.4773461625838635,36.75,3.5,26.47695,21.780426,30.940826,6.3143616,0.0,4.4339075,6.106827,998.52905,24.306303
2024-04-08,36.68110348873534,3.4773461625838635,36.75,3.5,22.717936,17.11026,26.496246,10.602885,0.011444092,3.1992626,5.607817,996.3127,22.18368
2024-04-09,36.68110348873534,3.4773461625838635,36.75,3.5,16.796621,12.738434,18.969635,10.532979,1.3108253,3.9214637,5.9416428,1005.8747,19.534977
2024-04-10,36.68110348873534,3.4773461625838635,36.75,3.5,14.560924,10.349518,18.684723,8.023743,0.0019073486,2.2815526,4.531826,1010.2949,24.366913
2024-04-11,36.68110348873534,3.4773461625838635,36.75,3.5,12.661916,10.390289,15.6527405,8.90684,22.619724,3.3033886,7.603114,1009.83575,16.04384
2024-04-12,36.68110348873534,3.4773461625838635,36.75,3.5,14.541412,11.432037,17.565582,10.639659,1.1219978,2.468281,5.1790514,1011.1719,20.628353
2024-04-13,36.68110348873534,3.4773461625838635,36.75,3.5,15.275502,11.676666,18.407623,11.873352,1.1906624,2.2739592,4.5966206,1008.9771,23.664959
2024-04-14,36.68110348873534,3.4773461625838635,36.75,3.5,16.829172,14.33609,20.264313,13.835225,0.08869171,2.8814497,5.454338,1005.0778,25.237503
2024-04-15,36.68110348873534,3.4773461625838635,36.75,3.5,17.133322,13.9947815,20.020905,13.975159,0.1449585,2.0758398,4.639795,1001.1035,24.801472
2024-04-16,36.68110348873534,3.4773461625838635,36.75,3.5,17.74533,13.825104,22.21402,12.332947,0.0071525574,1.7893167,3.235361,998.6862,25.685312
2024-04-17,36.68110348873534,3.4773461625838635,36.75,3.5,17.203491,13.131989,21.421783,12.269765,0.0,3.3234336,6.137986,996.93585,26.000576
2024-04-18,36.68110348873534,3.4773461625838635,36.75,3.5,16.350525,12.44278,20.384186,11.051036,0.00047683716,3.3992748,4.3912373,998.1282,25.961664
2024-04-19,36.68110348873534,3.4773461625838635,36.75,3.5,14.797546,10.587799,17.464508,7.324473,0.094890594,4.5194964,5.643893,1003.507,25.855423
2024-04-20,36.68110348873534,3.4773461625838635,36.75,3.5,15.739166,9.738678,21.032867,8.619426,0.0,4.477539,6.9581294,997.2647,23.025984
2024-04-21,36.68110348873534,3.4773461625838635,36.75,3.5,15.757863,13.131744,18.571198,7.7294006,0.0,4.2898445,5.1605253,997.3306,26.067135
