date,VHM0_median,VHM0_n_points,VHM0_dist_min_km,VHM0_dist_median_km,VHM0_dist_max_km
2024-07-07,0.79,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-08,0.7000000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-09,0.445,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-10,0.32,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-11,0.255,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-12,0.11,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-13,0.56,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-14,0.555,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-15,0.19,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-16,0.25,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-17,0.785,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-18,0.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-19,0.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-20,0.2,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-21,0.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-22,1.25,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-23,0.72,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-24,0.505,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-25,0.56,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-26,0.965,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-27,0.6,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-28,0.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-29,0.98,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-30,0.855,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-31,0.495,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-01,0.3,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-02,0.18,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-03,0.65,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-04,0.95,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-05,0.7000000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-06,0.53,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-07,0.87,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-08,0.72,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-09,0.6950000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-10,1.09,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-11,0.845,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-12,0.615,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-13,0.42,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-14,0.41500000000000004,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-15,0.75,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-16,0.64,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-17,0.5,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-18,0.34,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-19,0.605,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-20,0.8200000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-21,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-22,0.77,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-23,0.62,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-24,0.6950000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-25,0.54,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-26,1.07,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-27,0.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-28,0.8200000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-29,0.97,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-30,0.8200000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-08-31,0.79,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-01,0.71,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-02,0.32,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-03,0.22,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-04,0.31,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-05,0.675,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-06,0.87,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-07,0.385,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-08,0.49,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-09,0.88,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-10,0.96,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-11,0.8300000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-12,0.965,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-13,1.26,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-14,1.98,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-15,0.9500000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-16,0.7050000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-17,1.1949999999999998,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-18,1.06,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-19,1.28,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-20,0.865,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-21,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-22,0.5700000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-23,0.595,128,7.711546198681338,41.21199946489436,55.49704268963926
